name,iso_country,municipality,icao_code,iata_code,coordinates
Zapala Airport,AR,Zapala,SAHZ,APZ,"-70.113602, -38.975498"
Fitiuta Airport,AS,Fitiuta Village,NSFQ,FTI,"-169.425003, -14.2172"
Pago Pago International Airport,AS,Pago Pago,NSTU,PPG,"-170.710006714, -14.3310003281"
Graz Airport,AT,Graz,LOWG,GRZ,"15.439599990844727, 46.9911003112793"
Innsbruck Airport,AT,Innsbruck,LOWI,INN,"11.344, 47.260201"
Klagenfurt Airport,AT,Klagenfurt am W����rthersee,LOWK,KLU,"14.3377, 46.642502"
Linz H����rsching Airport,AT,Linz,LOWL,LNZ,"14.1875, 48.2332"
Salzburg Airport,AT,Salzburg,LOWS,SZG,"13.0043001175, 47.793300628699996"
Vienna International Airport,AT,Vienna,LOWW,VIE,"16.569700241089, 48.110298156738"
Adelaide International Airport,AU,Adelaide,YPAD,ADL,"138.531006, -34.945"
Albany Airport,AU,Albany,YABA,ALH,"117.80899810791016, -34.94329833984375"
Albury Airport,AU,Albury,YMAY,ABX,"146.95799255371094, -36.06779861450195"
Alice Springs Airport,AU,Alice Springs,YBAS,ASP,"133.90199279785156, -23.806699752807617"
Alpha Airport,AU,Alpha,YAPH,ABH,"146.584, -23.646099"
Armidale Airport,AU,Armidale,YARM,ARM,"151.617004395, -30.528099060099997"
Avalon Airport,AU,Melbourne,YMAV,AVV,"144.468994, -38.039398"
Ayers Rock Connellan Airport,AU,Ayers Rock,YAYE,AYQ,"130.975998, -25.1861"
Ballina Byron Gateway Airport,AU,Ballina,YBNA,BNK,"153.56199646, -28.8339004517"
Barcaldine Airport,AU,Barcaldine,YBAR,BCI,"145.307006836, -23.5652999878"
Bathurst Airport,AU,Bathurst,YBTH,BHS,"149.651992798, -33.4094009399"
Blackall Airport,AU,Blackall,YBCK,BKQ,"145.429000854, -24.427799224900003"
Brisbane International Airport,AU,Brisbane,YBBN,BNE,"153.11700439453125, -27.384199142456055"
Broken Hill Airport,AU,Broken Hill,YBHI,BHQ,"141.472000122, -32.0013999939"
Broome International Airport,AU,Broome,YBRM,BME,"122.23200225830078, -17.944700241088867"
Bundaberg Airport,AU,Bundaberg,YBUD,BDB,"152.319000244, -24.903900146499996"
Cairns International Airport,AU,Cairns,YBCS,CNS,"145.755004883, -16.885799408"
Canberra International Airport,AU,Canberra,YSCB,CBR,"149.19500732421875, -35.30690002441406"
Carnarvon Airport,AU,Carnarvon,YCAR,CVQ,"113.67174, -24.880211"
Charleville Airport,AU,Charleville,YBCV,CTL,"146.261993408, -26.4132995605"
Cloncurry Airport,AU,Cloncurry,YCCY,CNJ,"140.503997803, -20.668600082399998"
Coen Airport,AU,Coen,YCOE,CUQ,"143.113311, -13.761133"
Coffs Harbour Airport,AU,Coffs Harbour,YCFS,CFS,"153.115997, -30.320601"
Cooma Snowy Mountains Airport,AU,Cooma,YCOM,OOM,"148.973999023, -36.3005981445"
Darwin International Airport,AU,Darwin,YPDN,DRW,"130.8769989013672, -12.41469955444336"
Deniliquin Airport,AU,Deniliquin,YDLQ,DNQ,"144.945999146, -35.5593986511"
Devonport Airport,AU,Devonport,YDPO,DPO,"146.429992676, -41.1697006226"
Dubbo City Regional Airport,AU,Dubbo,YSDU,DBO,"148.574996948, -32.2167015076"
Elcho Island Airport,AU,Elcho Island,YELD,ELC,"135.570999146, -12.019399642899998"
Emerald Airport,AU,Emerald,YEML,EMD,"148.179000854, -23.5674991608"
Esperance Airport,AU,Esperance,YESP,EPR,"121.822998, -33.684399"
Forbes Airport,AU,Forbes,YFBS,FRB,"147.934998, -33.363602"
Geraldton Airport,AU,Geraldton,YGEL,GET,"114.707001, -28.796101"
Gladstone Airport,AU,Gladstone,YGLA,GLT,"151.223007, -23.869699"
Gold Coast Airport,AU,Gold Coast,YBCG,OOL,"153.505004883, -28.1644001007"
Gove Airport,AU,Nhulunbuy,YPGV,GOV,"136.817993164, -12.269399642899998"
Griffith Airport,AU,Griffith,YGTH,GFF,"146.067001343, -34.2508010864"
Groote Eylandt Airport,AU,Groote Eylandt,YGTE,GTE,"136.460006714, -13.975000381500001"
Hamilton Island Airport,AU,Hamilton Island,YBHM,HTI,"148.95199585, -20.3581008911"
Hervey Bay Airport,AU,Hervey Bay,YHBA,HVB,"152.880004883, -25.3188991547"
Hobart International Airport,AU,Hobart,YMHB,HBA,"147.509994507, -42.836101532"
Horn Island Airport,AU,Horn Island,YHID,HID,"142.289993286, -10.586400032"
Inverell Airport,AU,Inverell,YIVL,IVR,"151.143997192, -29.888299942"
Kalgoorlie Boulder Airport,AU,Kalgoorlie,YPKG,KGI,"121.461997986, -30.789400100699996"
Karratha Airport,AU,Karratha,YPKA,KTA,"116.773002625, -20.712200164799995"
Kowanyama Airport,AU,Kowanyama,YKOW,KWM,"141.75100708007812, -15.485600471496582"
Kununurra Airport,AU,Kununurra,YPKU,KNX,"128.707992554, -15.7781000137"
Latrobe Valley Airport,AU,Morwell,YLTV,TGN,"146.470001, -38.207199"
Launceston Airport,AU,Launceston,YMLT,LST,"147.214004517, -41.54529953"
Learmonth Airport,AU,Exmouth,YPLM,LEA,"114.088996887, -22.235599517799997"
Leonora Airport,AU,Leonora,YLEO,LNO,"121.31500244140625, -28.87809944152832"
Lismore Airport,AU,Lismore,YLIS,LSY,"153.259994507, -28.8302993774"
Lockhart River Airport,AU,Lockhart River,YLHR,IRG,"143.304993, -12.7869"
Longreach Airport,AU,Longreach,YLRE,LRE,"144.279998779, -23.4342002869"
Mackay Airport,AU,Mackay,YBMK,MKY,"149.179992676, -21.171699523900003"
Maningrida Airport,AU,Maningrida,YMGD,MNG,"134.23399353, -12.0560998917"
Melbourne Essendon Airport,AU,Melbourne,YMEN,MEB,"144.901993, -37.7281"
Melbourne International Airport,AU,Melbourne,YMML,MEL,"144.843002, -37.673302"
Melbourne Moorabbin Airport,AU,Melbourne,YMMB,MBW,"145.1020050048828, -37.975799560546875"
Merimbula Airport,AU,Merimbula,YMER,MIM,"149.901000977, -36.9085998535"
Mildura Airport,AU,Mildura,YMIA,MQL,"142.085998535, -34.229198455799995"
Moranbah Airport,AU,Moranbah,YMRB,MOV,"148.07699585, -22.057800293"
Moree Airport,AU,Moree,YMOR,MRZ,"149.845001221, -29.498899459799997"
Moruya Airport,AU,Moruya,YMRY,MYA,"150.143997192, -35.8978004456"
Mount Hotham Airport,AU,Mount Hotham,YHOT,MHU,"147.333999634, -37.0475006104"
Mount Isa Airport,AU,Mount Isa,YBMA,ISA,"139.488998413, -20.663900375399997"
Mudgee Airport,AU,Mudgee,YMDG,DGE,"149.610992432, -32.5625"
Narrabri Airport,AU,Narrabri,YNBR,NAA,"149.82699585, -30.3192005157"
Narrandera Airport,AU,Narrandera,YNAR,NRA,"146.511993408, -34.7022018433"
Newcastle Airport,AU,Williamtown,YWLM,NTL,"151.83399963378906, -32.79499816894531"
Newman Airport,AU,Newman,YNWN,ZNE,"119.803001404, -23.417800903299998"
Normanton Airport,AU,Normanton,YNTN,NTN,"141.069664, -17.68409"
Orange Airport,AU,Orange,YORG,OAG,"149.132995605, -33.3816986084"
Paraburdoo Airport,AU,Paraburdoo,YPBO,PBO,"117.745002747, -23.1711006165"
Parkes Airport,AU,Parkes,YPKS,PKE,"148.238998413, -33.131401062"
Perth International Airport,AU,Perth,YPPH,PER,"115.96700286865234, -31.94029998779297"
Perth Jandakot Airport,AU,Perth,YPJT,JAD,"115.88099670410156, -32.09749984741211"
Port Hedland International Airport,AU,Port Hedland,YPPD,PHE,"118.625999451, -20.3777999878"
Port Lincoln Airport,AU,Port Lincoln,YPLC,PLO,"135.880004883, -34.6053009033"
Port Macquarie Airport,AU,Port Macquarie,YPMQ,PQQ,"152.863006592, -31.4358005524"
Proserpine Whitsunday Coast Airport,AU,Proserpine,YBPN,PPP,"148.552001953, -20.4950008392"
RAAF Base Richmond,AU,Richmond,YSRI,XRH,"150.781006, -33.600601"
Rockhampton Airport,AU,Rockhampton,YBRK,ROK,"150.475006104, -23.3819007874"
Roma Airport,AU,Roma,YROM,RMA,"148.774993896, -26.545000076300003"
Shark Bay Airport,AU,Denham,YSHK,MJK,"113.577003479, -25.8938999176"
Sunshine Coast Airport,AU,Maroochydore,YBSU,MCY,"153.091003, -26.6033"
Sydney Bankstown Airport,AU,Sydney,YSBK,BWU,"150.98800659179688, -33.924400329589844"
Sydney Kingsford Smith International Airport,AU,Sydney,YSSY,SYD,"151.177001953125, -33.94609832763672"
Tamworth Airport,AU,Tamworth,YSTW,TMW,"150.847000122, -31.0839004517"
Taree Airport,AU,Taree,YTRE,TRO,"152.514007568, -31.8885993958"
Tennant Creek Airport,AU,Tennant Creek,YTNK,TCA,"134.18299865722656, -19.6343994140625"
Thangool Airport,AU,Biloela,YTNG,THG,"150.5760040283203, -24.493900299072266"
Toowoomba Wellcamp Airport,AU,Toowoomba,YBWW,WTB,"151.793335, -27.558332"
Townsville Airport,AU,Townsville,YBTL,TSV,"146.76499938964844, -19.252500534057617"
Wagga Wagga City Airport,AU,Wagga Wagga,YSWG,WGA,"147.466003418, -35.1652984619"
Weipa Airport,AU,Weipa,YBWP,WEI,"141.925003052, -12.6786003113"
West Sale Airport,AU,Sale,YWSL,SXE,"146.965335, -38.090827"
West Wyalong Airport,AU,West Wyalong,YWWL,WWY,"147.190994263, -33.9371986389"
Whyalla Airport,AU,Whyalla,YWHA,WYA,"137.51400756835938, -33.05889892578125"
Wynyard Airport,AU,Burnie,YWYY,BWT,"145.7310028076172, -40.9989013671875"
Queen Beatrix International Airport,AW,Oranjestad,TNCA,AUA,"-70.015198, 12.5014"
Gabala International Airport,AZ,Gabala,UBBQ,GBB,"47.7125, 40.826667"
Ganja International Airport,AZ,Ganja,UBBG,KVD,"46.3176, 40.737701"
Heydar Aliyev International Airport,AZ,Baku,UBBB,GYD,"50.04669952392578, 40.467498779296875"
Nakhchivan Airport,AZ,Nakhchivan,UBBN,NAJ,"45.45840072631836, 39.18880081176758"
Zabrat Airport,AZ,Baku,UBTT,ZXT,"49.9768066406, 40.4955422161"
Banja Luka International Airport,BA,Banja Luka,LQBK,BNX,"17.297500610351562, 44.94139862060547"
Mostar International Airport,BA,Mostar,LQMO,OMO,"17.84589958190918, 43.282901763916016"
Sarajevo International Airport,BA,Sarajevo,LQSA,SJJ,"18.331499099731445, 43.82460021972656"
Tuzla International Airport,BA,Tuzla,LQTZ,TZL,"18.72480010986328, 44.45869827270508"
Grantley Adams International Airport,BB,Bridgetown,TBPB,BGI,"-59.4925, 13.0746"
Barisal Airport,BD,Barisal,VGBR,BZL,"90.30120086669922, 22.801000595092773"
Cox's Bazar Airport,BD,Cox's Bazar,VGCB,CXB,"91.96389770507812, 21.452199935913086"
Hazrat Shahjalal International Airport,BD,Dhaka,VGHS,DAC,"90.397783, 23.843347"
Ishurdi Airport,BD,Ishurdi,VGIS,IRD,"89.04940032958984, 24.15250015258789"
Jessore Airport,BD,Jashahor,VGJR,JSR,"89.16079711914062, 23.183799743652344"
Osmany International Airport,BD,Sylhet,VGSY,ZYL,"91.8667984008789, 24.963199615478516"
Saidpur Airport,BD,Saidpur,VGSD,SPD,"88.90889739990234, 25.759199142456055"
Shah Amanat International Airport,BD,Chittagong,VGEG,CGP,"91.81330108642578, 22.24959945678711"
Shah Mokhdum Airport,BD,Rajshahi,VGRJ,RJH,"88.61650085449219, 24.43720054626465"
Antwerp International Airport (Deurne),BE,Antwerp,EBAW,ANR,"4.46027994156, 51.1893997192"
Brussels Airport,BE,Brussels,EBBR,BRU,"4.48443984985, 50.901401519800004"
Brussels South Charleroi Airport,BE,Brussels,EBCI,CRL,"4.45382, 50.459202"
Li����ge Airport,BE,Li����ge,EBLG,LGG,"5.443220138549805, 50.63740158081055"
Ostend-Bruges International Airport,BE,Ostend,EBOS,OST,"2.8622200489, 51.198898315399994"
Wevelgem Airport,BE,Wevelgem,EBKT,KJK,"3.20472002029, 50.817199707"
Bobo Dioulasso Airport,BF,Bobo Dioulasso,DFOO,BOY,"-4.33096981048584, 11.160099983215332"
Ouagadougou Airport,BF,Ouagadougou,DFFD,OUA,"-1.51242, 12.3532"
Bezmer Air Base,BG,Yambol,LBIA,JAM,"26.3521995544, 42.4548988342"
Burgas Airport,BG,Burgas,LBBG,BOJ,"27.515199661254883, 42.56959915161133"
Gorna Oryahovitsa Airport,BG,Gorna Oryahovitsa,LBGO,GOZ,"25.712900161743164, 43.15140151977539"
Plovdiv International Airport,BG,Plovdiv,LBPD,PDV,"24.8508, 42.067799"
Sofia Airport,BG,Sofia,LBSF,SOF,"23.411436080932617, 42.696693420410156"
Varna Airport,BG,Varna,LBWN,VAR,"27.8251, 43.232101"
Bahrain International Airport,BH,Manama,OBBI,BAH,"50.63359832763672, 26.27079963684082"
Bujumbura International Airport,BI,Bujumbura,HBBA,BJM,"29.318500518798828, -3.3240199089050293"
Cadjehoun Airport,BJ,Cotonou,DBBB,COO,"2.384350061416626, 6.357230186462402"
Gustaf III Airport,BL,Gustavia,TFFJ,SBH,"-62.84360122680664, 17.904399871826172"
L.F. Wade International International Airport,BM,Hamilton,TXKF,BDA,"-64.67870330810547, 32.36399841308594"
Brunei International Airport,BN,Bandar Seri Begawan,WBSB,BWN,"114.9280014038086, 4.944200038909912"
Alcantar���� Airport,BO,Yamparaez,SLAL,SRE,"-65.149611, -19.246835"
Bermejo Airport,BO,Bermejo,SLBJ,BJO,"-64.31289672850001, -22.7733001709"
Capitan Nicolas Rojas Airport,BO,Potos����,SLPO,POI,"-65.723734, -19.543331"
Capitan Oriel Lea Plaza Airport,BO,Tarija,SLTJ,TJA,"-64.7013015747, -21.5557003021"
Capit����n An����bal Arab Airport,BO,Cobija,SLCO,CIJ,"-68.7829971313, -11.040399551400002"
Capit����n Av. Salvador Ogaya G. airport,BO,Puerto Su����rez,SLPS,PSZ,"-57.820599, -18.975301"
El Alto International Airport,BO,La Paz / El Alto,SLLP,LPB,"-68.19229888916016, -16.5132999420166"
El Trompillo Airport,BO,Santa Cruz,SLET,SRZ,"-63.1715011597, -17.8115997314"
Jorge Wilsterman International Airport,BO,Cochabamba,SLCB,CBB,"-66.1771011352539, -17.421100616455078"
Juan Mendoza Airport,BO,Oruro,SLOR,ORU,"-67.0762023926, -17.962600708"
Santa Ana Del Yacuma Airport,BO,Santa Ana del Yacuma,SLSA,SBL,"-65.4352035522, -13.762200355500001"
Teniente Av. Jorge Henrich Arauz Airport,BO,Trinidad,SLTR,TDD,"-64.9179992676, -14.8186998367"
Teniente Coronel Rafael Pab����n Airport,BO,Villamontes,SLVM,VLM,"-63.4056015015, -21.255199432399998"
Viru Viru International Airport,BO,Santa Cruz,SLVR,VVI,"-63.135399, -17.6448"
Yacuiba Airport,BO,Yacu����ba,SLYA,BYC,"-63.65169906616211, -21.960899353027344"
F. D. Roosevelt Airport,BQ,Sint Eustatius,TNCE,EUX,"-62.979400634765625, 17.49650001525879"
Flamingo International Airport,BQ,Kralendijk,TNCB,BON,"-68.26850128173828, 12.130999565124512"
Afonso Pena Airport,BR,Curitiba,SBCT,CWB,"-49.1758003235, -25.5284996033"
Alberto Alcolumbre Airport,BR,Macap����,SBMQ,MCP,"-51.0722007751, 0.0506640002131"
Altamira Airport,BR,Altamira,SBHT,ATM,"-52.254001617432, -3.2539100646973"
Aracati Airport,BR,Aracati,SBAC,ARX,"-37.804722, -4.568611"
Aragua����na Airport,BR,Aragua����na,SWGN,AUX,"-48.240501, -7.22787"
Ara����atuba Airport,BR,Ara����atuba,SBAU,ARU,"-50.4247016907, -21.1413002014"
Araraquara Airport,BR,Araraquara,SBAQ,AQA,"-48.1329994202, -21.812000274699997"
Atlas Brasil Cantanhede Airport,BR,Boa Vista,SBBV,BVB,"-60.6922225952, 2.84138894081"
Bacacheri Airport,BR,Curitiba,SBBI,BFH,"-49.23199844359999, -25.4050998688"
Bahia - Jorge Amado Airport,BR,Ilh����us,SBIL,IOS,"-39.033199310303, -14.815999984741"
Barra do Gar����as Airport,BR,Barra Do Gar����as,SBBW,BPG,"-52.3889007568, -15.861300468400001"
Bartolomeu Lisandro Airport,BR,Campos Dos Goytacazes,SBCP,CAW,"-41.301700592, -21.698299408"
Base A����rea de Santos Airport,BR,Guaruj����,SBST,SSZ,"-46.299720764160156, -23.928056716918945"
Base de Avia��������o de Taubat���� Airport,BR,Taubat����,SBTA,QHP,"-45.51599884033203, -23.04010009765625"
Bauru - Arealva Airport,BR,Bauru,SBAE,JTC,"-49.0502866745, -22.166859140899998"
Bauru Airport,BR,Bauru,SBBU,BAU,"-49.0537986755, -22.3449993134"
Bom Jesus da Lapa Airport,BR,Bom Jesus Da Lapa,SBLP,LAZ,"-43.4081001282, -13.2621002197"
Brig. Lysias Augusto Rodrigues Airport,BR,Carolina,SBCI,CLN,"-47.45869827270508, -7.32043981552124"
Brigadeiro Camar����o Airport,BR,Vilhena,SBVH,BVH,"-60.098300933838, -12.694399833679"
Brigadeiro Lysias Rodrigues Airport,BR,Palmas,SBPJ,PMW,"-48.35699844359999, -10.291500091600001"
Campo Fontenelle Airport,BR,Pirassununga,SBYS,QPS,"-47.334800720214844, -21.984600067138672"
Campo Grande Airport,BR,Campo Grande,SBCG,CGR,"-54.6725006104, -20.468700408900002"
Caraj����s Airport,BR,Parauapebas,SBCJ,CKS,"-50.0013885498, -6.11527776718"
Caravelas Airport,BR,Caravelas,SSCV,CRQ,"-39.253101, -17.6523"
Cascavel Airport,BR,Cascavel,SBCA,CAC,"-53.500801086399996, -25.0002994537"
Cataratas International Airport,BR,Foz Do Igua����u,SBFI,IGU,"-54.48500061035156, -25.600278854370117"
Chafei Amsei Airport,BR,Barretos,SNBA,BAT,"-48.594100952148, -20.584499359131"
Comandante Ariston Pessoa Airport,BR,Jijoca de Jericoacoara,SBJE,JJD,"-40.357338, -2.906425"
Comandante Gustavo Kraemer Airport,BR,Bag����,SBBG,BGX,"-54.112201690674, -31.39049911499"
Concei��������o do Araguaia Airport,BR,Concei��������o do Araguaia,SBAA,CDJ,"-49.301498, -8.34835"
